time,value
0,1.0
1,0.9175812510126988
2,0.7872075429233966
3,0.7386058977664787
4,0.6996237728981406
5,0.5734902662194262
6,0.48559842119392554
7,0.4416527803982777
8,0.3928633647530442
9,0.3547352799959184
10,0.3071909756734982
11,0.2900895079675217
12,0.2725519178820906
13,0.24712163261887674
14,0.23627413396844804
15,0.21857259078474414
16,0.1892187133485636
17,0.17418032248206644
18,0.15003925631923257
19,0.1416797860976696
20,0.12771780583022482
21,0.11435756444795755
22,0.09988640524592902
23,0.09595800613813311
24,0.08605048729759654
25,0.07611670803830617
26,0.06758669316278179
27,0.06272603396697238
28,0.057731259127584963
29,0.053259990927561125
30,0.04917947984584157
31,0.04946715135195284
32,0.04380456735327909
33,0.03858547664556597
34,0.03347963409676143
35,0.031202127689945524
36,0.02983508059467163
37,0.02680899671313625
38,0.023230816753367172
39,0.020145997729161844
40,0.018808055915418707
41,0.017640510547340785
42,0.016380731018744828
43,0.014318898251148189
44,0.013091174317762052
45,0.011899811711318506
46,0.010872177545576284
47,0.01026282811142293
48,0.009378860029409523
49,0.008768396072960545
50,0.007950881914972936
51,0.007289892685637333
52,0.006799188293411384
53,0.005712721016490295
54,0.005080765222672084
55,0.004484797087066894
56,0.003925522092177365
57,0.0034990526028104594
58,0.003407535533307222
59,0.002948945818185197
60,0.0027971797416358685
61,0.0023238334841113365
62,0.002065193515995691
63,0.0018815795074214642
64,0.0017509748748857615
65,0.0016396520147308321
66,0.0015417241914015556
67,0.0013691842729872802
68,0.0012090652636580993
69,0.0011405337399294994
70,0.0010208964659790432
71,0.000865581982063815
72,0.0007391402834069956
73,0.0006379533217900965
74,0.0005910337690064284
75,0.0005379386075748274
76,0.0005032156012801319
77,0.0004451476730747835
78,0.00040548466741073167
79,0.0003780825586787437
80,0.00033643173272597814
81,0.0003110594389261057
82,0.0002719553011578839
83,0.00024134682973858866
84,0.0002139833336363698
85,0.0001821546678450217
86,0.00016867179301802374
87,0.00014889400195901333
88,0.00013464064796849857
89,0.00012463590106837516
90,0.0001151773661099426
91,0.00010760773262247092
92,9.676818137477164e-05
93,8.561866597563365e-05
94,7.706640164745967e-05
95,6.401072757007747e-05
96,5.38092327003376e-05
97,4.551582571329398e-05
98,3.9132281570686815e-05
99,3.6078115162151736e-05
