t_s,activity
0.0,1.0
2732226.0265467623,0.9980015993867574
5464452.053093525,0.9960071923785256
8196678.079640287,0.9940167709944824
10928904.10618705,0.9920303272697535
13661130.13273381,0.9900478532553822
16393356.159280574,0.9880693410182971
19125582.185827337,0.9860947826412799
21857808.2123741,0.9841241702229342
24590034.23892086,0.9821574958776538
27322260.26546762,0.980194751735591
30054486.292014387,0.9782359299426253
32786712.318561148,0.976281022660332
35518938.34510791,0.9743300220659504
38251164.371654674,0.9723829203523531
40983390.398201436,0.9704397097280143
43715616.4247482,0.9685003824169788
46447842.45129496,0.966564930658831
49180068.47784172,0.9646333467086635
51912294.50438848,0.9627056228370465
54644520.53093524,0.9607817513299969
57376746.55748201,0.9588617244889467
60108972.58402877,0.956945534630713
62841198.610575534,0.9550331740874671
65573424.637122296,0.9531246352067037
68305650.66366906,0.9512199103512099
71037876.69021583,0.9493189918990355
73770102.71676259,0.9474218722434615
76502328.74330935,0.9455285437929707
79234554.76985611,0.9436389989712164
81966780.79640287,0.9417532302169926
84699006.82294963,0.9398712299842037
87431232.8494964,0.9379929907418342
90163458.87604316,0.9361185049739184
92895684.90258992,0.9342477651795107
95627910.92913668,0.9323807638726553
98360136.95568344,0.9305174935823566
101092362.9822302,0.9286579468525485
103824589.00877696,0.9268021162420658
106556815.03532372,0.924949994324613
109289041.06187049,0.9231015736887359
112021267.08841726,0.9212568469377911
114753493.11496402,0.9194158066899166
117485719.14151078,0.9175784455780025
120217945.16805755,0.9157447562496611
122950171.1946043,0.913914731367198
125682397.22115107,0.9120883636075824
128414623.24769783,0.9102656456624175
131146849.27424459,0.908446570237912
133879075.30079135,0.9066311300548503
136611301.32733813,0.9048193178485638
139343527.35388488,0.9030111263689015
142075753.38043165,0.9012065483802009
144807979.4069784,0.8994055766612596
147540205.43352517,0.8976082040053059
150272431.46007192,0.8958144232199701
153004657.4866187,0.8940242271272556
155736883.51316544,0.8922376085635108
158469109.53971222,0.8904545603793993
161201335.56625897,0.8886750754398723
163933561.59280574,0.8868991466241398
166665787.6193525,0.8851267668256417
169398013.64589927,0.8833579289520199
172130239.672446,0.8815926259250895
174862465.6989928,0.8798308506808106
177594691.72553957,0.8780725961692601
180326917.7520863,0.8763178553546039
183059143.7786331,0.8745666212150678
185791369.80517983,0.8728188867429101
188523595.8317266,0.8710746449443932
191255821.85827336,0.8693338888397563
193988047.88482013,0.8675966114631862
196720273.91136688,0.865862805862791
199452499.93791366,0.8641324651005707
202184725.9644604,0.862405582252391
204916951.99100718,0.8606821504079538
207649178.01755393,0.8589621626707715
210381404.0441007,0.8572456121581381
213113630.07064745,0.8555324920011017
215845856.09719422,0.8538227953444376
218578082.12374097,0.8521165153466208
221310308.15028775,0.8504136451797979
224042534.17683452,0.8487141780297606
226774760.20338127,0.8470181070959182
229506986.22992805,0.8453254255912701
232239212.2564748,0.8436361267423789
234971438.28302157,0.8419502037893433
237703664.30956832,0.8402676499857709
240435890.3361151,0.8385884585987513
243168116.36266184,0.8369126229088294
245900342.3892086,0.8352401362099778
248632568.41575536,0.833570991809571
251364794.44230214,0.8319051830283574
254097020.46884888,0.8302427032004338
256829246.49539566,0.8285835456732178
259561472.5219424,0.8269277038074216
262293698.54848918,0.8252751709770255
265025924.57503596,0.8236259405692511
267758150.6015827,0.821980005984535
270490376.6281295,0.8203373606365023
273222602.65467626,0.8186979979519404
275954828.681223,0.8170619113707728
278687054.70776975,0.8154290943460322
281419280.7343165,0.8137995403438352
284151506.7608633,0.8121732428433555
286883732.78741,0.8105501953367981
289615958.8139568,0.8089303913293729
292348184.8405036,0.8073138243392697
295080410.86705035,0.8057004878976308
297812636.89359707,0.8040903755485264
300544862.92014384,0.8024834808489276
303277088.9466906,0.800879797368682
306009314.9732374,0.7992793186904867
308741540.9997842,0.7976820384098635
311473767.0263309,0.7960879501351327
314205993.05287766,0.7944970474873875
316938219.07942444,0.7929093241004692
319670445.1059712,0.791324773620941
322402671.13251793,0.7897433897080628
325134897.1590647,0.7881651660337659
327867123.1856115,0.7865900962826275
330599349.21215826,0.7850181741518457
333331575.238705,0.783449393351214
336063801.26525176,0.7818837476030964
338796027.29179853,0.7803212306424019
341528253.3183453,0.7787618362165598
344260479.344892,0.7772055580854946
346992705.3714388,0.775652390021601
349724931.3979856,0.7741023258097187
352457157.42453235,0.7725553592471079
355189383.45107913,0.7710114841434247
357921609.47762585,0.7694706943206954
360653835.5041726,0.7679329836132927
363386061.5307194,0.7663983458679106
366118287.5572662,0.7648667749435399
368850513.5838129,0.7633382647114438
371582739.61035967,0.7618128090551329
374314965.63690645,0.760290401870341
377047191.6634532,0.7587710370650008
379779417.68999994,0.7572547085592194
382511643.7165467,0.7557414102852537
385243869.7430935,0.7542311361874868
387976095.76964027,0.752723880222403
390708321.796187,0.7512196363585641
393440547.82273376,0.7497183985765853
396172773.84928054,0.7482201608691105
398904999.8758273,0.7467249172407892
401637225.9023741,0.7452326617082515
404369451.9289208,0.7437433883000854
407101677.9554676,0.7422570910568114
409833903.98201436,0.7407737640308597
412566130.00856113,0.7392934012865463
415298356.03510785,0.7378159969000491
418030582.0616546,0.7363415449593838
420762808.0882014,0.7348700395643809
423495034.1147482,0.7334014748266617
426227260.1412949,0.731935844869615
428959486.1678417,0.7304731438283734
431691712.19438845,0.7290133658497894
434423938.2209352,0.7275565050924131
437156164.24748194,0.7261025557264678
439888390.2740287,0.7246515119338269
442620616.3005755,0.7232033679079911
445352842.3271223,0.7217581178540646
448085068.35366905,0.7203157559887322
450817294.38021576,0.718876276540236
